world_cup_year,market,broadcasters,notes,source_url
2022,Argentina,TVP; TyC Sports; DSports,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Australia,SBS,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Brazil,Grupo Globo; CazéTV; Grupo Bandeirantes,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Canada,Bell Media,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,China,CCTV; Douyin; Migu,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Germany,ARD; ZDF; Magenta Sport,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,India / Indian subcontinent,Viacom18,The 2022 rights page groups the Indian subcontinent under Viacom18.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Italy,RAI,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Japan,Abema/TV Asahi; Fuji TV; NHK; Tokyo MX,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,MENA,beIN Sports; Al Kass Sports Channels,Regional rights listing on the 2022 page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Mexico,Sky; Televisa; TV Azteca,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,South Africa,SABC,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,South Korea,SBS; KBS; MBC,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Spain,RTVE; Mediapro,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,United Kingdom,BBC; ITV; S4C,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,United States,Fox; Telemundo,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
